,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"0""","4""",4.56,"HangCuddled(HangCudl, RemainHC)",,,
"4""","4""",0.36,Land Vertically,,,
"4""","22""",18.00,Remain RearUp,,,
"22""","35""",12.96,"HangCuddled(HangCudl, RemainHC)",,,
"35""","36""",0.24,Walk Left,,,
"36""","37""",0.60,Walk Right,,,
"37""","47""",10.56,Remain Hang Cuddled,,,
"47""","47""",0.24,HangVertically From HangCuddled,,,
"48""","1'02""",14.16,Eat Zone1,,,
"1'02""","1'02""",0.48,"HangVertically(HVfromRU, HVfromHC)",,,
"1'02""","1'03""",0.36,Land Vertically,,,
"1'03""","1'06""",3.32,No Data,,,
"1'06""","1'07""",0.56,Jump,,,
"1'07""","1'07""",0.52,"RearUp(RUfromPR, RemainRU)",,,
"1'07""","1'10""",2.76,No Data,,,
"1'10""","1'11""",0.96,"HangCuddled(HangCudl, RemainHC)",,,
"1'11""","1'16""",5.08,No Data,,,
"1'17""","1'20""",2.92,No Data,,,
"1'20""","1'21""",0.96,"HangCuddled(HangCudl, RemainHC)",,,
"1'21""","1'24""",2.72,No Data,,,
"1'24""","1'25""",0.36,Stationary,,,
"1'25""","2'02""",36.96,No Data,,,
"2'02""","2'03""",0.68,Forage,,,
"2'04""","2'04""",0.32,Forage,,,
"2'04""","2'05""",0.20,Dig,,,
"2'05""","2'05""",0.28,Forage,,,
"2'05""","2'05""",0.16,Dig,,,
"2'05""","2'05""",0.16,Forage,,,
"2'05""","2'05""",0.16,Dig,,,
"2'06""","2'06""",0.48,Forage,,,
"2'06""","2'07""",0.20,Dig,,,
"2'07""","2'07""",0.20,Forage,,,
"2'07""","2'07""",0.20,Walk Right,,,
"2'07""","2'07""",0.16,Forage,,,
"2'07""","2'08""",0.28,Rear up Partially,,,
"2'08""","2'08""",0.24,Come Down From Partially Reared,,,
"2'08""","2'08""",0.40,Forage,,,
"2'08""","2'09""",0.68,Sniff,,face-right,
"2'09""","2'09""",0.24,Come Down From Partially Reared,,,
"2'09""","2'10""",0.72,Drink Spout1,,face-front/back,
"2'10""","2'11""",0.72,Sniff,,,
"2'11""","2'11""",0.24,Come Down From Partially Reared,,,
"2'11""","2'11""",0.24,Rear up Partially,,,
"2'11""","2'12""",0.24,Sniff,,,
"2'12""","2'12""",0.24,Come Down From Partially Reared,,,
"2'12""","2'12""",0.12,Sniff,,,
"2'12""","2'12""",0.08,Forage,,,
"2'12""","2'12""",0.44,Dig,,,
"2'14""","2'15""",0.24,Rear up Partially,,,
"2'15""","2'15""",0.24,Remain Partially Reared,,,
"2'15""","2'15""",0.24,Come Down From Partially Reared,,,
"2'15""","2'16""",0.24,Rear Up,,,
"2'16""","2'21""",5.40,Groom,,B_L,
"2'21""","2'22""",0.52,Walk Left,,,
"2'22""","2'22""",0.24,Rear up Partially,,,
"2'22""","2'22""",0.24,Sniff,,,
"2'22""","2'24""",1.68,"RearUp(RUfromPR, RemainRU)",,,
"2'24""","2'24""",0.48,"HangVertically(HVfromRU, RemainHV)",,,
"2'24""","2'24""",0.24,Walk Left,,,
"2'24""","2'25""",0.72,Remain Hang Vertically,,,
"2'25""","2'25""",0.36,Land Vertically,,,
"2'25""","2'26""",0.60,Sniff,,,
"2'26""","2'27""",0.60,Jump,,,
"2'27""","2'27""",0.28,Come Down,,,
"2'27""","2'27""",0.24,Walk Slowly,,,
"2'27""","2'28""",0.60,"RearUp(RUtoPR, RUfromPR)",,,
"2'28""","2'31""",3.12,Eat Zone1,,,
"2'31""","2'32""",0.72,"HangVertically(HVfromRU, RemainHV)",,,
"2'32""","2'32""",0.48,Hang Cuddled,,,
"2'32""","2'33""",0.48,"HangVertically(HVfromHC, RemainHV)",,,
"2'33""","2'33""",0.24,Hang Cuddled,,,
"2'33""","2'33""",0.24,Land Vertically,,,
"2'33""","2'35""",1.92,"HangVertically(HVfromRU, RemainHV)",,,
"2'35""","2'36""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"2'36""","2'36""",0.36,Walk Right,,,
"2'37""","2'37""",0.08,Forage,,,
"2'37""","2'37""",0.16,Forage,,,
"2'37""","2'38""",1.24,"RearUp(RUtoPR, RUtoPR)",,,
"2'38""","2'38""",0.24,Remain Partially Reared,,,
"2'38""","2'39""",0.24,Come Down From Partially Reared,,,
"2'39""","2'39""",0.24,Rear up Partially,,,
"2'39""","2'40""",0.24,Chew,,,
"2'40""","2'41""",1.92,Eat Zone1,,,
"2'41""","2'43""",1.44,Chew,,,
"2'45""","2'45""",0.16,Stretch Body,,,
"2'45""","2'45""",0.44,Dig,,,
"2'48""","2'48""",0.24,Walk Slowly,,,
"2'48""","2'49""",0.24,Rear up Partially,,,
"2'49""","2'51""",2.16,Eat Zone1,,,
"2'51""","2'51""",0.24,Come Down From Partially Reared,,,
"2'53""","2'53""",0.40,Forage,,,
"2'56""","2'56""",0.44,"RearUp(RearUp, RemainRU)",,,
"2'56""","2'57""",0.60,Jump,,,
"2'59""","3'00""",0.84,Walk Right,,,
"3'01""","3'10""",9.24,Groom,,PLF,
"3'10""","3'10""",0.28,Remain Partially Reared,,,
"3'10""","3'11""",0.24,Come Down From Partially Reared,,,
"3'11""","3'16""",5.92,Groom,,PLR<-PLF,
"3'29""","3'34""",4.84,Groom,,PLR,
"3'39""","3'43""",3.64,Groom,,PLF,
"3'45""","3'45""",0.24,Rear up Partially,,,
"3'45""","3'45""",0.48,Sniff,,,
"3'45""","3'46""",0.24,Remain Partially Reared,,,
"3'46""","3'46""",0.24,Come Down From Partially Reared,,,
"3'47""","3'47""",0.24,Rear up Partially,,,
"3'47""","3'47""",0.24,Come Down From Partially Reared,,,
"3'51""","3'51""",0.44,Dig,,,
"3'52""","3'53""",0.24,Rear up Partially,,,
"3'53""","3'53""",0.24,Remain Partially Reared,,,
"3'53""","3'54""",0.72,Eat Zone1,,,
"3'54""","3'55""",0.96,Sniff,,,
"3'55""","3'55""",0.24,Come Down From Partially Reared,,,
"3'56""","4'01""",5.36,Groom,,PLF<-HdW,
"4'02""","4'02""",0.36,Rear up Partially,,,
"4'02""","4'09""",6.48,Eat Zone1,,,
"4'09""","4'09""",0.48,Come Down From Partially Reared,,,
"4'10""","4'10""",0.16,Forage,,,
"4'10""","4'10""",0.16,Dig,,,
"4'10""","4'10""",0.28,Forage,,,
"4'10""","4'11""",0.24,Walk Right,,,
"4'11""","4'11""",0.16,Dig,,,
"4'11""","4'11""",0.28,Rear up Full From Partial,,,
"4'11""","4'11""",0.20,Come Down,,,
"4'11""","4'11""",0.16,Dig,,,
"4'12""","4'12""",0.36,Walk Right,,,
"4'12""","4'14""",1.92,Sniff,,,
"4'14""","4'15""",0.24,Rear up Full From Partial,,,
"4'15""","4'15""",0.24,Sniff,,,
"4'15""","4'16""",1.20,Stretch Body,,,
"4'16""","4'17""",0.72,Sniff,,,
"4'17""","4'17""",0.24,Come Down To Partially Reared,,,
"4'17""","4'17""",0.24,Remain Partially Reared,,,
"4'17""","4'18""",0.48,Drink Spout1,,,
"4'18""","4'19""",1.32,Sniff,,,
"4'19""","4'19""",0.24,Come Down From Partially Reared,,,
"4'19""","4'19""",0.24,Rear up Partially,,,
"4'19""","4'22""",2.16,Remain Partially Reared,,,
"4'22""","4'22""",0.24,Come Down From Partially Reared,,,
"4'22""","4'22""",0.24,Rear up Partially,,,
"4'22""","4'23""",0.48,Sniff,,,
